PATTERNID,PATTERNSET,PATTERNNATURE,PATTERNNAME,PATTERNDESCRIPTION,REGEXPATTERN,PRIORITY,CATEGORY,FIX,REMEDIATION,REMEDIATIONDESCRIPTION,REMEDIATIONEFFORT,MANDAYS,SNO_PHASE_BATCH,TOTAL,APPLICATIONNAME,TRACK,PHASE,BATCH,APPLICABLE THIRD PARTY NEW JAR,JDK-COMPATIBILITYSTATUS-CONCLUDED,JDK8-COMPATIBLE,JDK21-COMPATIBLE,JDKCOMPATIBILITYRULEHINT,WLS12CCOMPATIBLE,WLS14CCOMPATIBLE,OPENREWRITE_RECEIPE,TESTCASE_UNIT_NO,TOTAL
267,Set 3 - Third Party,THIRD-PARTY (LOG4J jar),log4j-1.2.5.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.apache\.log4j|org\.apache\.log4j\.lf5|org\.apache\.log4j\.lf5\.viewer|org\.apache\.log4j\.helpers|org\.apache\.log4j\.chainsaw|org\.apache\.log4j\.spi|org\.apache\.log4j\.net|org\.apache\.log4j\.varia|org\.apache\.log4j\.lf5\.util|org\.apache\.log4j\.jmx)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.apache\.log4j|org\.apache\.log4j\.lf5|org\.apache\.log4j\.lf5\.viewer|org\.apache\.log4j\.helpers|org\.apache\.log4j\.chainsaw|org\.apache\.log4j\.spi|org\.apache\.log4j\.net|org\.apache\.log4j\.varia|org\.apache\.log4j\.lf5\.util|org\.apache\.log4j\.jmx)\.)|(?:\b(?:org\.apache\.log4j|org\.apache\.log4j\.lf5|org\.apache\.log4j\.lf5\.viewer|org\.apache\.log4j\.helpers|org\.apache\.log4j\.chainsaw|org\.apache\.log4j\.spi|org\.apache\.log4j\.net|org\.apache\.log4j\.varia|org\.apache\.log4j\.lf5\.util|org\.apache\.log4j\.jmx)\.[A-Za-z_$][\w$]*\b)",High,Security/EOL,Dual-runtime: remove Log4j 1.x and use Log4j 2.17.x (Java 8+) or SLF4J+Logback; ensure only one backend on classpath.,Migrate,"Replace log4j-1.x jar, update config, retest logging.",High,1.5,36,25,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 8,(blank),SAFE works BOTH JDK (able to Compile - to verify New/Existing JAR & New/Existing API ?),to verify runtime - New/Existing JAR & New/Existing API ?,to verify runtime - New/Existing JAR & New/Existing API ?,Dual-Log4jMigration,(blank),(blank),P075,UT075,25
268,Set 3 - Third Party,THIRD-PARTY (LOG4J jar),log4j-api-2.17.1.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.apache\.logging\.log4j|org\.apache\.logging\.log4j\.util|org\.apache\.logging\.log4j\.message|org\.apache\.logging\.log4j\.spi|org\.apache\.logging\.log4j\.internal|org\.apache\.logging\.log4j\.status|org\.apache\.logging\.log4j\.simple|org\.apache\.logging\.log4j\.ThreadContext\$EmptyThreadContextStack|org\.apache\.logging\.log4j\.ThreadContext\$NoOpThreadContextStack|org\.apache\.logging\.log4j\.CloseableThreadContext\$Instance)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.apache\.logging\.log4j|org\.apache\.logging\.log4j\.util|org\.apache\.logging\.log4j\.message|org\.apache\.logging\.log4j\.spi|org\.apache\.logging\.log4j\.internal|org\.apache\.logging\.log4j\.status|org\.apache\.logging\.log4j\.simple|org\.apache\.logging\.log4j\.ThreadContext\$EmptyThreadContextStack|org\.apache\.logging\.log4j\.ThreadContext\$NoOpThreadContextStack|org\.apache\.logging\.log4j\.CloseableThreadContext\$Instance)\.)|(?:\b(?:org\.apache\.logging\.log4j|org\.apache\.logging\.log4j\.util|org\.apache\.logging\.log4j\.message|org\.apache\.logging\.log4j\.spi|org\.apache\.logging\.log4j\.internal|org\.apache\.logging\.log4j\.status|org\.apache\.logging\.log4j\.simple|org\.apache\.logging\.log4j\.ThreadContext\$EmptyThreadContextStack|org\.apache\.logging\.log4j\.ThreadContext\$NoOpThreadContextStack|org\.apache\.logging\.log4j\.CloseableThreadContext\$Instance)\.[A-Za-z_$][\w$]*\b)",Low,Logging Backend,Keep Log4j2; ensure api/core versions aligned and no Log4j 1.x remains.,No-Change/Align,Validate consistent Log4j2 version and configuration.,Low,0.25,34,2,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 7,(blank),SAFE works BOTH JDK (able to Compile - to verify New/Existing JAR & New/Existing API ?),to verify runtime - New/Existing JAR & New/Existing API ?,to verify runtime - New/Existing JAR & New/Existing API ?,Dual-Log4j2,(blank),(blank),P076,UT076,2
270,Set 3 - Third Party,THIRD-PARTY (SECURITY jar),not-yet-commons-ssl-0.3.10.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.apache\.commons|org\.apache\.commons\.ssl|org\.apache\.commons\.ssl\.asn1|org\.apache\.commons\.ssl\.rmi|org\.apache\.commons\.httpclient\.contrib|org\.apache\.commons\.ssl\.util|org\.apache\.commons\.ssl\.Certificates\$SerializableComparator|org\.apache\.commons\.ssl\.HostnameVerifier\$AbstractVerifier|org\.apache\.commons\.ssl\.ProbablyBadPasswordException|org\.apache\.commons\.ssl\.SSLProxyServer\$ProxyRunnable)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.apache\.commons|org\.apache\.commons\.ssl|org\.apache\.commons\.ssl\.asn1|org\.apache\.commons\.ssl\.rmi|org\.apache\.commons\.httpclient\.contrib|org\.apache\.commons\.ssl\.util|org\.apache\.commons\.ssl\.Certificates\$SerializableComparator|org\.apache\.commons\.ssl\.HostnameVerifier\$AbstractVerifier|org\.apache\.commons\.ssl\.ProbablyBadPasswordException|org\.apache\.commons\.ssl\.SSLProxyServer\$ProxyRunnable)\.)|(?:\b(?:org\.apache\.commons|org\.apache\.commons\.ssl|org\.apache\.commons\.ssl\.asn1|org\.apache\.commons\.ssl\.rmi|org\.apache\.commons\.httpclient\.contrib|org\.apache\.commons\.ssl\.util|org\.apache\.commons\.ssl\.Certificates\$SerializableComparator|org\.apache\.commons\.ssl\.HostnameVerifier\$AbstractVerifier|org\.apache\.commons\.ssl\.ProbablyBadPasswordException|org\.apache\.commons\.ssl\.SSLProxyServer\$ProxyRunnable)\.[A-Za-z_$][\w$]*\b)",Medium,Pre-Release/Alpha,Dual-runtime: replace alpha/beta/snapshot libraries with stable maintained releases that support Java 8; validate on JDK 21.,Replace,Upgrade to stable release; verify runtime and security.,Medium,1,28,2512,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 7,(blank),SAFE works BOTH JDK (able to Compile - to verify New/Existing JAR & New/Existing API ?),to verify runtime - New/Existing JAR & New/Existing API ?,to verify runtime - New/Existing JAR & New/Existing API ?,Dual-Replace-PreRelease,(blank),(blank),P077,UT077,2512
271,Set 3 - Third Party,THIRD-PARTY (OC4J jar),oc4j.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:com\.evermind|com\.evermind\.server|com\.evermind\.client|com\.evermind\.server\.jms|com\.evermind\.gui|com\.evermind\.server\.ejb|com\.evermind\.server\.http|oracle\.oc4j|com\.evermind\.server\.jms\.filter|com\.evermind\.gui\.server)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:com\.evermind|com\.evermind\.server|com\.evermind\.client|com\.evermind\.server\.jms|com\.evermind\.gui|com\.evermind\.server\.ejb|com\.evermind\.server\.http|oracle\.oc4j|com\.evermind\.server\.jms\.filter|com\.evermind\.gui\.server)\.)|(?:\b(?:com\.evermind|com\.evermind\.server|com\.evermind\.client|com\.evermind\.server\.jms|com\.evermind\.gui|com\.evermind\.server\.ejb|com\.evermind\.server\.http|oracle\.oc4j|com\.evermind\.server\.jms\.filter|com\.evermind\.gui\.server)\.[A-Za-z_$][\w$]*\b)",High,App Server EOL,"OC4J is obsolete; move runtime to a supported javax.* container (e.g., Tomcat 9) to keep dual-runtime compatibility.",Replace,Remove OC4J-specific libs and migrate deployment; validate on JDK 8 and JDK 21.,High,3,92,7,1-fpms,b. NEW JDK TRACK,PHASE 2,BATCH 4,(blank),NOT-SAFE works ONLY JDK21 (change to new API and/or new JAR in src),NOT-SAFE,to verify runtime - New JAR & API ?,Dual-AppServerMigration,(blank),(blank),P078,UT078,7
272,Set 3 - Third Party,THIRD-PARTY (OC4J jar),oc4jclient.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:com\.evermind|com\.evermind\.server|EDU\.oswego\.cs\.dl\.util|com\.evermind\.server\.ejb|com\.evermind\.server\.jms|com\.evermind\.util|com\.evermind\.server\.rmi|com\.evermind\.bytecode|oracle\.oc4j|oracle\.oc4j\.admin\.management)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:com\.evermind|com\.evermind\.server|EDU\.oswego\.cs\.dl\.util|com\.evermind\.server\.ejb|com\.evermind\.server\.jms|com\.evermind\.util|com\.evermind\.server\.rmi|com\.evermind\.bytecode|oracle\.oc4j|oracle\.oc4j\.admin\.management)\.)|(?:\b(?:com\.evermind|com\.evermind\.server|EDU\.oswego\.cs\.dl\.util|com\.evermind\.server\.ejb|com\.evermind\.server\.jms|com\.evermind\.util|com\.evermind\.server\.rmi|com\.evermind\.bytecode|oracle\.oc4j|oracle\.oc4j\.admin\.management)\.[A-Za-z_$][\w$]*\b)",High,App Server EOL,"OC4J is obsolete; move runtime to a supported javax.* container (e.g., Tomcat 9) to keep dual-runtime compatibility.",Replace,Remove OC4J-specific libs and migrate deployment; validate on JDK 8 and JDK 21.,High,3,93,10,1-fpms,b. NEW JDK TRACK,PHASE 2,BATCH 4,(blank),NOT-SAFE works ONLY JDK21 (change to new API and/or new JAR in src),NOT-SAFE,to verify runtime - New JAR & API ?,Dual-AppServerMigration,(blank),(blank),P079,UT079,10
274,Set 3 - Third Party,THIRD-PARTY (DB jar),ojdbc14.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:oracle\.jdbc|oracle\.jdbc\.driver|oracle\.net|oracle\.sql|oracle\.net\.nl|oracle\.jdbc\.oracore|oracle\.net\.nl\.mesg|oracle\.jdbc\.pool|oracle\.jdbc\.rowset|oracle\.net\.ns)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:oracle\.jdbc|oracle\.jdbc\.driver|oracle\.net|oracle\.sql|oracle\.net\.nl|oracle\.jdbc\.oracore|oracle\.net\.nl\.mesg|oracle\.jdbc\.pool|oracle\.jdbc\.rowset|oracle\.net\.ns)\.)|(?:\b(?:oracle\.jdbc|oracle\.jdbc\.driver|oracle\.net|oracle\.sql|oracle\.net\.nl|oracle\.jdbc\.oracore|oracle\.net\.nl\.mesg|oracle\.jdbc\.pool|oracle\.jdbc\.rowset|oracle\.net\.ns)\.[A-Za-z_$][\w$]*\b)",High,Driver Upgrade,Dual-runtime: replace old Oracle JDBC jars with ojdbc8 (Java 8 baseline) and validate on JDK 21; avoid ojdbc11 if JDK 8 runtime must remain supported.,Upgrade,Replace driver jar; validate TLS/timezone/NLS on both runtimes.,Medium,1,49,33,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 9,(blank),SAFE works BOTH JDK (able to Compile - to verify New/Existing JAR & New/Existing API ?),to verify runtime - New/Existing JAR & New/Existing API ?,to verify runtime - New/Existing JAR & New/Existing API ?,Dual-JDBC-Upgrade,(blank),(blank),P080,UT080,33
275,Set 3 - Third Party,THIRD-PARTY (DB jar),ojdbc6.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:oracle\.jdbc|oracle\.jdbc\.driver|oracle\.net|oracle\.jdbc\.proxy|oracle\.sql|oracle\.jdbc\.internal|oracle\.jdbc\.replay|oracle\.jdbc\.replay\.driver|oracle\.net\.jdbc|oracle\.net\.jdbc\.nl)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:oracle\.jdbc|oracle\.jdbc\.driver|oracle\.net|oracle\.jdbc\.proxy|oracle\.sql|oracle\.jdbc\.internal|oracle\.jdbc\.replay|oracle\.jdbc\.replay\.driver|oracle\.net\.jdbc|oracle\.net\.jdbc\.nl)\.)|(?:\b(?:oracle\.jdbc|oracle\.jdbc\.driver|oracle\.net|oracle\.jdbc\.proxy|oracle\.sql|oracle\.jdbc\.internal|oracle\.jdbc\.replay|oracle\.jdbc\.replay\.driver|oracle\.net\.jdbc|oracle\.net\.jdbc\.nl)\.[A-Za-z_$][\w$]*\b)",Medium,Driver Upgrade,Dual-runtime: replace old Oracle JDBC jars with ojdbc8 (Java 8 baseline) and validate on JDK 21; avoid ojdbc11 if JDK 8 runtime must remain supported.,Upgrade,Replace driver jar; validate TLS/timezone/NLS on both runtimes.,Medium,0.75,50,33,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 9,(blank),SAFE works BOTH JDK (able to Compile - to verify New/Existing JAR & New/Existing API ?),to verify runtime - New/Existing JAR & New/Existing API ?,to verify runtime - New/Existing JAR & New/Existing API ?,Dual-JDBC-Upgrade,(blank),(blank),P081,UT081,33
277,Set 3 - Third Party,THIRD-PARTY (POI jar),poi-3.8-20120326.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.apache\.poi|org\.apache\.poi\.ss|org\.apache\.poi\.hssf|org\.apache\.poi\.ss\.formula|org\.apache\.poi\.hssf\.record|org\.apache\.poi\.ss\.usermodel|org\.apache\.poi\.poifs|org\.apache\.poi\.hssf\.util|org\.apache\.poi\.hssf\.usermodel|org\.apache\.poi\.hpsf)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.apache\.poi|org\.apache\.poi\.ss|org\.apache\.poi\.hssf|org\.apache\.poi\.ss\.formula|org\.apache\.poi\.hssf\.record|org\.apache\.poi\.ss\.usermodel|org\.apache\.poi\.poifs|org\.apache\.poi\.hssf\.util|org\.apache\.poi\.hssf\.usermodel|org\.apache\.poi\.hpsf)\.)|(?:\b(?:org\.apache\.poi|org\.apache\.poi\.ss|org\.apache\.poi\.hssf|org\.apache\.poi\.ss\.formula|org\.apache\.poi\.hssf\.record|org\.apache\.poi\.ss\.usermodel|org\.apache\.poi\.poifs|org\.apache\.poi\.hssf\.util|org\.apache\.poi\.hssf\.usermodel|org\.apache\.poi\.hpsf)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,72,43,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 9,(blank),SAFE works BOTH JDK (able to Compile - to verify New/Existing JAR & New/Existing API ?),to verify runtime - New/Existing JAR & New/Existing API ?,to verify runtime - New/Existing JAR & New/Existing API ?,Dual-Review,(blank),(blank),P082,UT082,43
278,Set 3 - Third Party,THIRD-PARTY (POI jar),poi-ooxml-3.8-20120326.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.apache\.poi|org\.apache\.poi\.xslf|org\.apache\.poi\.xssf|org\.apache\.poi\.xslf\.usermodel|org\.apache\.poi\.xssf\.usermodel|org\.apache\.poi\.xslf\.model|org\.apache\.poi\.openxml4j|org\.apache\.poi\.xwpf|org\.apache\.poi\.xwpf\.usermodel|org\.apache\.poi\.openxml4j\.opc)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.apache\.poi|org\.apache\.poi\.xslf|org\.apache\.poi\.xssf|org\.apache\.poi\.xslf\.usermodel|org\.apache\.poi\.xssf\.usermodel|org\.apache\.poi\.xslf\.model|org\.apache\.poi\.openxml4j|org\.apache\.poi\.xwpf|org\.apache\.poi\.xwpf\.usermodel|org\.apache\.poi\.openxml4j\.opc)\.)|(?:\b(?:org\.apache\.poi|org\.apache\.poi\.xslf|org\.apache\.poi\.xssf|org\.apache\.poi\.xslf\.usermodel|org\.apache\.poi\.xssf\.usermodel|org\.apache\.poi\.xslf\.model|org\.apache\.poi\.openxml4j|org\.apache\.poi\.xwpf|org\.apache\.poi\.xwpf\.usermodel|org\.apache\.poi\.openxml4j\.opc)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,73,43,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 9,(blank),SAFE works BOTH JDK (able to Compile - to verify New/Existing JAR & New/Existing API ?),to verify runtime - New/Existing JAR & New/Existing API ?,to verify runtime - New/Existing JAR & New/Existing API ?,Dual-Review,(blank),(blank),P083,UT083,43
281,Set 3 - Third Party,THIRD-PARTY (SCHEDULER jar),quartz.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.quartz|org\.quartz\.impl|org\.quartz\.impl\.jdbcjobstore|org\.quartz\.core|org\.quartz\.simpl|org\.quartz\.utils|org\.quartz\.xml|org\.quartz\.jobs|org\.quartz\.spi|org\.quartz\.ee)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.quartz|org\.quartz\.impl|org\.quartz\.impl\.jdbcjobstore|org\.quartz\.core|org\.quartz\.simpl|org\.quartz\.utils|org\.quartz\.xml|org\.quartz\.jobs|org\.quartz\.spi|org\.quartz\.ee)\.)|(?:\b(?:org\.quartz|org\.quartz\.impl|org\.quartz\.impl\.jdbcjobstore|org\.quartz\.core|org\.quartz\.simpl|org\.quartz\.utils|org\.quartz\.xml|org\.quartz\.jobs|org\.quartz\.spi|org\.quartz\.ee)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,114,17,1-fpms,b. NEW JDK TRACK,PHASE 2,BATCH 5,Quartz Scheduler 2.3.2,SAFE works BOTH JDK (able to Compile - to verify New JAR & API ?),to verify runtime - New JAR & API ?,to verify runtime - New JAR & API ?,Dual-Review,(blank),(blank),P084,UT084,17
287,Set 3 - Third Party,THIRD-PARTY (SPRING jar),spring-beans.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.springframework\.beans|org\.springframework\.beans\.factory|org\.springframework\.beans\.factory\.support|org\.springframework\.beans\.factory\.config|org\.springframework\.beans\.factory\.xml|org\.springframework\.beans\.propertyeditors|org\.springframework\.beans\.factory\.annotation|org\.springframework\.beans\.factory\.parsing|org\.springframework\.beans\.factory\.groovy|org\.springframework\.beans\.factory\.access)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.springframework\.beans|org\.springframework\.beans\.factory|org\.springframework\.beans\.factory\.support|org\.springframework\.beans\.factory\.config|org\.springframework\.beans\.factory\.xml|org\.springframework\.beans\.propertyeditors|org\.springframework\.beans\.factory\.annotation|org\.springframework\.beans\.factory\.parsing|org\.springframework\.beans\.factory\.groovy|org\.springframework\.beans\.factory\.access)\.)|(?:\b(?:org\.springframework\.beans|org\.springframework\.beans\.factory|org\.springframework\.beans\.factory\.support|org\.springframework\.beans\.factory\.config|org\.springframework\.beans\.factory\.xml|org\.springframework\.beans\.propertyeditors|org\.springframework\.beans\.factory\.annotation|org\.springframework\.beans\.factory\.parsing|org\.springframework\.beans\.factory\.groovy|org\.springframework\.beans\.factory\.access)\.[A-Za-z_$][\w$]*\b)",Medium,Framework Old Version,Dual-runtime: move to Spring Framework 5.3.x line (Java 8 baseline) via Maven/Gradle BOM; avoid Spring 6/Jakarta-only.,Upgrade,Adopt dependency management; upgrade Spring to 5.3.x; re-test on both runtimes.,Medium,2,53,8,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 9,(blank),SAFE works BOTH JDK (able to Compile - to verify New/Existing JAR & New/Existing API ?),to verify runtime - New/Existing JAR & New/Existing API ?,to verify runtime - New/Existing JAR & New/Existing API ?,Dual-Spring53,(blank),(blank),P085,UT085,8
288,Set 3 - Third Party,THIRD-PARTY (SPRING jar),spring-context.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.springframework\.context|org\.springframework\.format|org\.springframework\.context\.annotation|org\.springframework\.cache|org\.springframework\.format\.datetime|org\.springframework\.jmx|org\.springframework\.scheduling|org\.springframework\.jmx\.export|org\.springframework\.context\.support|org\.springframework\.cache\.interceptor)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.springframework\.context|org\.springframework\.format|org\.springframework\.context\.annotation|org\.springframework\.cache|org\.springframework\.format\.datetime|org\.springframework\.jmx|org\.springframework\.scheduling|org\.springframework\.jmx\.export|org\.springframework\.context\.support|org\.springframework\.cache\.interceptor)\.)|(?:\b(?:org\.springframework\.context|org\.springframework\.format|org\.springframework\.context\.annotation|org\.springframework\.cache|org\.springframework\.format\.datetime|org\.springframework\.jmx|org\.springframework\.scheduling|org\.springframework\.jmx\.export|org\.springframework\.context\.support|org\.springframework\.cache\.interceptor)\.[A-Za-z_$][\w$]*\b)",Medium,Framework Old Version,Dual-runtime: move to Spring Framework 5.3.x line (Java 8 baseline) via Maven/Gradle BOM; avoid Spring 6/Jakarta-only.,Upgrade,Adopt dependency management; upgrade Spring to 5.3.x; re-test on both runtimes.,Medium,2,54,1,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 9,(blank),SAFE works BOTH JDK (able to Compile - to verify New/Existing JAR & New/Existing API ?),to verify runtime - New/Existing JAR & New/Existing API ?,to verify runtime - New/Existing JAR & New/Existing API ?,Dual-Spring53,(blank),(blank),P086,UT086,1
289,Set 3 - Third Party,THIRD-PARTY (SPRING jar),spring-core.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.springframework\.core|org\.springframework\.cglib|org\.springframework\.util|org\.springframework\.cglib\.core|org\.springframework\.core\.convert|org\.springframework\.core\.convert\.support|org\.springframework\.cglib\.proxy|org\.springframework\.cglib\.transform|org\.springframework\.objenesis|org\.springframework\.core\.io)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.springframework\.core|org\.springframework\.cglib|org\.springframework\.util|org\.springframework\.cglib\.core|org\.springframework\.core\.convert|org\.springframework\.core\.convert\.support|org\.springframework\.cglib\.proxy|org\.springframework\.cglib\.transform|org\.springframework\.objenesis|org\.springframework\.core\.io)\.)|(?:\b(?:org\.springframework\.core|org\.springframework\.cglib|org\.springframework\.util|org\.springframework\.cglib\.core|org\.springframework\.core\.convert|org\.springframework\.core\.convert\.support|org\.springframework\.cglib\.proxy|org\.springframework\.cglib\.transform|org\.springframework\.objenesis|org\.springframework\.core\.io)\.[A-Za-z_$][\w$]*\b)",Medium,Framework Old Version,Dual-runtime: move to Spring Framework 5.3.x line (Java 8 baseline) via Maven/Gradle BOM; avoid Spring 6/Jakarta-only.,Upgrade,Adopt dependency management; upgrade Spring to 5.3.x; re-test on both runtimes.,Medium,2,55,6,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 9,(blank),SAFE works BOTH JDK (able to Compile - to verify New/Existing JAR & New/Existing API ?),to verify runtime - New/Existing JAR & New/Existing API ?,to verify runtime - New/Existing JAR & New/Existing API ?,Dual-Spring53,(blank),(blank),P087,UT087,6
291,Set 3 - Third Party,THIRD-PARTY (SPRING jar),spring-web.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.springframework\.web|org\.springframework\.http|org\.springframework\.web\.context|org\.springframework\.http\.client|org\.springframework\.web\.bind|org\.springframework\.web\.util|org\.springframework\.http\.converter|org\.springframework\.web\.context\.request|org\.springframework\.web\.method|org\.springframework\.web\.context\.support)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.springframework\.web|org\.springframework\.http|org\.springframework\.web\.context|org\.springframework\.http\.client|org\.springframework\.web\.bind|org\.springframework\.web\.util|org\.springframework\.http\.converter|org\.springframework\.web\.context\.request|org\.springframework\.web\.method|org\.springframework\.web\.context\.support)\.)|(?:\b(?:org\.springframework\.web|org\.springframework\.http|org\.springframework\.web\.context|org\.springframework\.http\.client|org\.springframework\.web\.bind|org\.springframework\.web\.util|org\.springframework\.http\.converter|org\.springframework\.web\.context\.request|org\.springframework\.web\.method|org\.springframework\.web\.context\.support)\.[A-Za-z_$][\w$]*\b)",Medium,Framework Old Version,Dual-runtime: move to Spring Framework 5.3.x line (Java 8 baseline) via Maven/Gradle BOM; avoid Spring 6/Jakarta-only.,Upgrade,Adopt dependency management; upgrade Spring to 5.3.x; re-test on both runtimes.,Medium,2,56,17,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 9,(blank),SAFE works BOTH JDK (able to Compile - to verify New/Existing JAR & New/Existing API ?),to verify runtime - New/Existing JAR & New/Existing API ?,to verify runtime - New/Existing JAR & New/Existing API ?,Dual-Spring53,(blank),(blank),P088,UT088,17
