PatternID,PatternSet,PatternNature,PatternName,PatternDescription,RegexPattern,Priority,Category,Fix,Remediation,RemediationDescription,RemediationEffort,Mandays,JDK8Compatible,JDK21Compatible,CompatibilityStatus,PlanFirstChange,ScriptableBySearchReplace,CompatibilityRuleHint
221,Set 3 - Third Party,THIRD-PARTY (COMMON jar),commons-httpclient-3.0-beta1.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.apache\.commons\.httpclient|org\.apache\.commons\.httpclient\.methods|org\.apache\.commons\.httpclient\.auth|org\.apache\.commons\.httpclient\.util|org\.apache\.commons\.httpclient\.protocol|org\.apache\.commons\.httpclient\.params|org\.apache\.commons\.httpclient\.cookie|org\.apache\.commons\.httpclient\.MultiThreadedHttpConnectionManager\$HttpConnectionWithReference|org\.apache\.commons\.httpclient\.MultiThreadedHttpConnectionManager\$HttpConnectionAdapter|org\.apache\.commons\.httpclient\.MultiThreadedHttpConnectionManager\$ReferenceQueueThread)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.apache\.commons\.httpclient|org\.apache\.commons\.httpclient\.methods|org\.apache\.commons\.httpclient\.auth|org\.apache\.commons\.httpclient\.util|org\.apache\.commons\.httpclient\.protocol|org\.apache\.commons\.httpclient\.params|org\.apache\.commons\.httpclient\.cookie|org\.apache\.commons\.httpclient\.MultiThreadedHttpConnectionManager\$HttpConnectionWithReference|org\.apache\.commons\.httpclient\.MultiThreadedHttpConnectionManager\$HttpConnectionAdapter|org\.apache\.commons\.httpclient\.MultiThreadedHttpConnectionManager\$ReferenceQueueThread)\.)|(?:\b(?:org\.apache\.commons\.httpclient|org\.apache\.commons\.httpclient\.methods|org\.apache\.commons\.httpclient\.auth|org\.apache\.commons\.httpclient\.util|org\.apache\.commons\.httpclient\.protocol|org\.apache\.commons\.httpclient\.params|org\.apache\.commons\.httpclient\.cookie|org\.apache\.commons\.httpclient\.MultiThreadedHttpConnectionManager\$HttpConnectionWithReference|org\.apache\.commons\.httpclient\.MultiThreadedHttpConnectionManager\$HttpConnectionAdapter|org\.apache\.commons\.httpclient\.MultiThreadedHttpConnectionManager\$ReferenceQueueThread)\.[A-Za-z_$][\w$]*\b)",Medium,HTTP Client Migration,Dual-runtime: migrate from HttpClient 3.x APIs to HttpClient 4.5.x/5.x (Java 8+); refactor code; test on both runtimes.,Refactor,Replace API usages; verify timeouts/pooling/TLS.,Medium,1.5,Yes,Yes,Requires Migration,No,No,Dual-HttpClient-Refactor
222,Set 3 - Third Party,THIRD-PARTY (COMMON jar),commons-lang-2.0.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.apache\.commons\.lang|org\.apache\.commons\.lang\.time|org\.apache\.commons\.lang\.builder|org\.apache\.commons\.lang\.math|org\.apache\.commons\.lang\.exception|org\.apache\.commons\.lang\.enum|org\.apache\.commons\.lang\.Entities\$PrimitiveEntityMap|org\.apache\.commons\.lang\.IncompleteArgumentException|org\.apache\.commons\.lang\.Entities\$LookupEntityMap|org\.apache\.commons\.lang\.Entities\$BinaryEntityMap)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.apache\.commons\.lang|org\.apache\.commons\.lang\.time|org\.apache\.commons\.lang\.builder|org\.apache\.commons\.lang\.math|org\.apache\.commons\.lang\.exception|org\.apache\.commons\.lang\.enum|org\.apache\.commons\.lang\.Entities\$PrimitiveEntityMap|org\.apache\.commons\.lang\.IncompleteArgumentException|org\.apache\.commons\.lang\.Entities\$LookupEntityMap|org\.apache\.commons\.lang\.Entities\$BinaryEntityMap)\.)|(?:\b(?:org\.apache\.commons\.lang|org\.apache\.commons\.lang\.time|org\.apache\.commons\.lang\.builder|org\.apache\.commons\.lang\.math|org\.apache\.commons\.lang\.exception|org\.apache\.commons\.lang\.enum|org\.apache\.commons\.lang\.Entities\$PrimitiveEntityMap|org\.apache\.commons\.lang\.IncompleteArgumentException|org\.apache\.commons\.lang\.Entities\$LookupEntityMap|org\.apache\.commons\.lang\.Entities\$BinaryEntityMap)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
223,Set 3 - Third Party,THIRD-PARTY (LOG4J jar),commons-logging.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.apache\.commons\.logging|org\.apache\.commons\.logging\.impl|org\.apache\.commons\.logging\.LogConfigurationException|org\.apache\.commons\.logging\.package\-info|org\.apache\.commons\.logging\.LogFactory|org\.apache\.commons\.logging\.LogSource|org\.apache\.commons\.logging\.Log)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.apache\.commons\.logging|org\.apache\.commons\.logging\.impl|org\.apache\.commons\.logging\.LogConfigurationException|org\.apache\.commons\.logging\.package\-info|org\.apache\.commons\.logging\.LogFactory|org\.apache\.commons\.logging\.LogSource|org\.apache\.commons\.logging\.Log)\.)|(?:\b(?:org\.apache\.commons\.logging|org\.apache\.commons\.logging\.impl|org\.apache\.commons\.logging\.LogConfigurationException|org\.apache\.commons\.logging\.package\-info|org\.apache\.commons\.logging\.LogFactory|org\.apache\.commons\.logging\.LogSource|org\.apache\.commons\.logging\.Log)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
224,Set 3 - Third Party,THIRD-PARTY (COMMON jar),commons-mail-alpha.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.apache\.commons\.mail|org\.apache\.commons\.mail\.DefaultAuthenticator|org\.apache\.commons\.mail\.ByteArrayDataSource|org\.apache\.commons\.mail\.GenerateUniqueID|org\.apache\.commons\.mail\.EmailAttachment|org\.apache\.commons\.mail\.MultiPartEmail|org\.apache\.commons\.mail\.MailMessage|org\.apache\.commons\.mail\.SimpleEmail|org\.apache\.commons\.mail\.HtmlEmail|org\.apache\.commons\.mail\.Email)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.apache\.commons\.mail|org\.apache\.commons\.mail\.DefaultAuthenticator|org\.apache\.commons\.mail\.ByteArrayDataSource|org\.apache\.commons\.mail\.GenerateUniqueID|org\.apache\.commons\.mail\.EmailAttachment|org\.apache\.commons\.mail\.MultiPartEmail|org\.apache\.commons\.mail\.MailMessage|org\.apache\.commons\.mail\.SimpleEmail|org\.apache\.commons\.mail\.HtmlEmail|org\.apache\.commons\.mail\.Email)\.)|(?:\b(?:org\.apache\.commons\.mail|org\.apache\.commons\.mail\.DefaultAuthenticator|org\.apache\.commons\.mail\.ByteArrayDataSource|org\.apache\.commons\.mail\.GenerateUniqueID|org\.apache\.commons\.mail\.EmailAttachment|org\.apache\.commons\.mail\.MultiPartEmail|org\.apache\.commons\.mail\.MailMessage|org\.apache\.commons\.mail\.SimpleEmail|org\.apache\.commons\.mail\.HtmlEmail|org\.apache\.commons\.mail\.Email)\.[A-Za-z_$][\w$]*\b)",Medium,Pre-Release/Alpha,Dual-runtime: replace alpha/beta/snapshot libraries with stable maintained releases that support Java 8; validate on JDK 21.,Replace,Upgrade to stable release; verify runtime and security.,Medium,1,Yes,Yes,Safe,Yes,No,Dual-Replace-PreRelease
225,Set 3 - Third Party,THIRD-PARTY (COMMON jar),commons-net-1.1.0.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.apache\.commons\.net|org\.apache\.commons\.net\.ftp|org\.apache\.commons\.net\.telnet|org\.apache\.commons\.net\.io|org\.apache\.commons\.net\.tftp|org\.apache\.commons\.net\.nntp|org\.apache\.commons\.net\.smtp|org\.apache\.commons\.net\.pop3|org\.apache\.commons\.net\.bsd|org\.apache\.commons\.net\.MalformedServerReplyException)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.apache\.commons\.net|org\.apache\.commons\.net\.ftp|org\.apache\.commons\.net\.telnet|org\.apache\.commons\.net\.io|org\.apache\.commons\.net\.tftp|org\.apache\.commons\.net\.nntp|org\.apache\.commons\.net\.smtp|org\.apache\.commons\.net\.pop3|org\.apache\.commons\.net\.bsd|org\.apache\.commons\.net\.MalformedServerReplyException)\.)|(?:\b(?:org\.apache\.commons\.net|org\.apache\.commons\.net\.ftp|org\.apache\.commons\.net\.telnet|org\.apache\.commons\.net\.io|org\.apache\.commons\.net\.tftp|org\.apache\.commons\.net\.nntp|org\.apache\.commons\.net\.smtp|org\.apache\.commons\.net\.pop3|org\.apache\.commons\.net\.bsd|org\.apache\.commons\.net\.MalformedServerReplyException)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
226,Set 3 - Third Party,THIRD-PARTY (COMMON jar),commons-pool-1.2.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.apache\.commons\.pool|org\.apache\.commons\.pool\.impl|org\.apache\.commons\.pool\.BaseKeyedPoolableObjectFactory|org\.apache\.commons\.pool\.KeyedPoolableObjectFactory|org\.apache\.commons\.pool\.BasePoolableObjectFactory|org\.apache\.commons\.pool\.KeyedObjectPoolFactory|org\.apache\.commons\.pool\.PoolableObjectFactory|org\.apache\.commons\.pool\.BaseKeyedObjectPool|org\.apache\.commons\.pool\.ObjectPoolFactory|org\.apache\.commons\.pool\.KeyedObjectPool)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.apache\.commons\.pool|org\.apache\.commons\.pool\.impl|org\.apache\.commons\.pool\.BaseKeyedPoolableObjectFactory|org\.apache\.commons\.pool\.KeyedPoolableObjectFactory|org\.apache\.commons\.pool\.BasePoolableObjectFactory|org\.apache\.commons\.pool\.KeyedObjectPoolFactory|org\.apache\.commons\.pool\.PoolableObjectFactory|org\.apache\.commons\.pool\.BaseKeyedObjectPool|org\.apache\.commons\.pool\.ObjectPoolFactory|org\.apache\.commons\.pool\.KeyedObjectPool)\.)|(?:\b(?:org\.apache\.commons\.pool|org\.apache\.commons\.pool\.impl|org\.apache\.commons\.pool\.BaseKeyedPoolableObjectFactory|org\.apache\.commons\.pool\.KeyedPoolableObjectFactory|org\.apache\.commons\.pool\.BasePoolableObjectFactory|org\.apache\.commons\.pool\.KeyedObjectPoolFactory|org\.apache\.commons\.pool\.PoolableObjectFactory|org\.apache\.commons\.pool\.BaseKeyedObjectPool|org\.apache\.commons\.pool\.ObjectPoolFactory|org\.apache\.commons\.pool\.KeyedObjectPool)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
227,Set 3 - Third Party,THIRD-PARTY (COMMON jar),commons-validator.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.apache\.commons\.validator|org\.apache\.commons\.validator\.ValidatorResourcesInitializer|org\.apache\.commons\.validator\.ValidatorResult\$ResultStatus|org\.apache\.commons\.validator\.GenericTypeValidator|org\.apache\.commons\.validator\.ValidatorResources|org\.apache\.commons\.validator\.ValidatorException|org\.apache\.commons\.validator\.ValidatorResults|org\.apache\.commons\.validator\.GenericValidator|org\.apache\.commons\.validator\.ValidatorAction|org\.apache\.commons\.validator\.ValidatorResult)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.apache\.commons\.validator|org\.apache\.commons\.validator\.ValidatorResourcesInitializer|org\.apache\.commons\.validator\.ValidatorResult\$ResultStatus|org\.apache\.commons\.validator\.GenericTypeValidator|org\.apache\.commons\.validator\.ValidatorResources|org\.apache\.commons\.validator\.ValidatorException|org\.apache\.commons\.validator\.ValidatorResults|org\.apache\.commons\.validator\.GenericValidator|org\.apache\.commons\.validator\.ValidatorAction|org\.apache\.commons\.validator\.ValidatorResult)\.)|(?:\b(?:org\.apache\.commons\.validator|org\.apache\.commons\.validator\.ValidatorResourcesInitializer|org\.apache\.commons\.validator\.ValidatorResult\$ResultStatus|org\.apache\.commons\.validator\.GenericTypeValidator|org\.apache\.commons\.validator\.ValidatorResources|org\.apache\.commons\.validator\.ValidatorException|org\.apache\.commons\.validator\.ValidatorResults|org\.apache\.commons\.validator\.GenericValidator|org\.apache\.commons\.validator\.ValidatorAction|org\.apache\.commons\.validator\.ValidatorResult)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
228,Set 3 - Third Party,THIRD-PARTY (CONCURRENCY jar),concurrent.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:EDU\.oswego\.cs\.dl\.util)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:EDU\.oswego\.cs\.dl\.util)\.)|(?:\b(?:EDU\.oswego\.cs\.dl\.util)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
229,Set 3 - Third Party,THIRD-PARTY (BARCODE jar),core-3.4.1.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:com\.google\.zxing|com\.google\.zxing\.oned|com\.google\.zxing\.qrcode|com\.google\.zxing\.client\.result|com\.google\.zxing\.oned\.rss|com\.google\.zxing\.pdf417|com\.google\.zxing\.datamatrix|com\.google\.zxing\.qrcode\.decoder|com\.google\.zxing\.common|com\.google\.zxing\.aztec)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:com\.google\.zxing|com\.google\.zxing\.oned|com\.google\.zxing\.qrcode|com\.google\.zxing\.client\.result|com\.google\.zxing\.oned\.rss|com\.google\.zxing\.pdf417|com\.google\.zxing\.datamatrix|com\.google\.zxing\.qrcode\.decoder|com\.google\.zxing\.common|com\.google\.zxing\.aztec)\.)|(?:\b(?:com\.google\.zxing|com\.google\.zxing\.oned|com\.google\.zxing\.qrcode|com\.google\.zxing\.client\.result|com\.google\.zxing\.oned\.rss|com\.google\.zxing\.pdf417|com\.google\.zxing\.datamatrix|com\.google\.zxing\.qrcode\.decoder|com\.google\.zxing\.common|com\.google\.zxing\.aztec)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
230,Set 3 - Third Party,THIRD-PARTY (UPLOAD jar),cos.jar,Third-party library present in application lib folder (exploded project).,,Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
231,Set 3 - Third Party,THIRD-PARTY (HELP jar),dhbcore.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:com\.ibm\.disthub2|com\.ibm\.disthub2\.impl|com\.ibm\.disthub2\.impl\.formats|com\.ibm\.disthub2\.impl\.util|com\.ibm\.disthub2\.impl\.matching|com\.ibm\.disthub2\.spi|com\.ibm\.disthub2\.impl\.durable|com\.ibm\.disthub2\.impl\.gd|com\.ibm\.disthub2\.impl\.jms|com\.ibm\.disthub2\.impl\.client)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:com\.ibm\.disthub2|com\.ibm\.disthub2\.impl|com\.ibm\.disthub2\.impl\.formats|com\.ibm\.disthub2\.impl\.util|com\.ibm\.disthub2\.impl\.matching|com\.ibm\.disthub2\.spi|com\.ibm\.disthub2\.impl\.durable|com\.ibm\.disthub2\.impl\.gd|com\.ibm\.disthub2\.impl\.jms|com\.ibm\.disthub2\.impl\.client)\.)|(?:\b(?:com\.ibm\.disthub2|com\.ibm\.disthub2\.impl|com\.ibm\.disthub2\.impl\.formats|com\.ibm\.disthub2\.impl\.util|com\.ibm\.disthub2\.impl\.matching|com\.ibm\.disthub2\.spi|com\.ibm\.disthub2\.impl\.durable|com\.ibm\.disthub2\.impl\.gd|com\.ibm\.disthub2\.impl\.jms|com\.ibm\.disthub2\.impl\.client)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
232,Set 3 - Third Party,THIRD-PARTY (DOM4J jar),dom4j-1.5-rc1.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.dom4j|org\.dom4j\.tree|org\.dom4j\.io|org\.dom4j\.dom|org\.dom4j\.rule|org\.dom4j\.util|org\.dom4j\.persistence|org\.dom4j\.swing|org\.dom4j\.datatype|org\.dom4j\.bean)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.dom4j|org\.dom4j\.tree|org\.dom4j\.io|org\.dom4j\.dom|org\.dom4j\.rule|org\.dom4j\.util|org\.dom4j\.persistence|org\.dom4j\.swing|org\.dom4j\.datatype|org\.dom4j\.bean)\.)|(?:\b(?:org\.dom4j|org\.dom4j\.tree|org\.dom4j\.io|org\.dom4j\.dom|org\.dom4j\.rule|org\.dom4j\.util|org\.dom4j\.persistence|org\.dom4j\.swing|org\.dom4j\.datatype|org\.dom4j\.bean)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
233,Set 3 - Third Party,THIRD-PARTY (SECURITY jar),eddsa-0.3.0.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:net\.i2p\.crypto\.eddsa|net\.i2p\.crypto\.eddsa\.math|net\.i2p\.crypto\.eddsa\.spec|net\.i2p\.crypto\.eddsa\.EdDSAEngine\$OneShotSpec|net\.i2p\.crypto\.eddsa\.EdDSASecurityProvider\$1|net\.i2p\.crypto\.eddsa\.EdDSASecurityProvider|net\.i2p\.crypto\.eddsa\.KeyPairGenerator|net\.i2p\.crypto\.eddsa\.EdDSAPrivateKey|net\.i2p\.crypto\.eddsa\.EdDSAPublicKey|net\.i2p\.crypto\.eddsa\.EdDSAEngine\$1)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:net\.i2p\.crypto\.eddsa|net\.i2p\.crypto\.eddsa\.math|net\.i2p\.crypto\.eddsa\.spec|net\.i2p\.crypto\.eddsa\.EdDSAEngine\$OneShotSpec|net\.i2p\.crypto\.eddsa\.EdDSASecurityProvider\$1|net\.i2p\.crypto\.eddsa\.EdDSASecurityProvider|net\.i2p\.crypto\.eddsa\.KeyPairGenerator|net\.i2p\.crypto\.eddsa\.EdDSAPrivateKey|net\.i2p\.crypto\.eddsa\.EdDSAPublicKey|net\.i2p\.crypto\.eddsa\.EdDSAEngine\$1)\.)|(?:\b(?:net\.i2p\.crypto\.eddsa|net\.i2p\.crypto\.eddsa\.math|net\.i2p\.crypto\.eddsa\.spec|net\.i2p\.crypto\.eddsa\.EdDSAEngine\$OneShotSpec|net\.i2p\.crypto\.eddsa\.EdDSASecurityProvider\$1|net\.i2p\.crypto\.eddsa\.EdDSASecurityProvider|net\.i2p\.crypto\.eddsa\.KeyPairGenerator|net\.i2p\.crypto\.eddsa\.EdDSAPrivateKey|net\.i2p\.crypto\.eddsa\.EdDSAPublicKey|net\.i2p\.crypto\.eddsa\.EdDSAEngine\$1)\.[A-Za-z_$][\w$]*\b)",Medium,Crypto Providers,Dual-runtime: upgrade crypto providers to Java-8-baseline releases and validate provider configuration on JDK 8 and JDK 21.,Upgrade,Upgrade provider jars; validate provider order/FIPS/TLS.,Medium,1,Yes,Yes,Safe,Yes,No,Dual-Crypto
234,Set 3 - Third Party,THIRD-PARTY (CONCURRENCY jar),EDU.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:EDU\.oswego\.cs\.dl\.util)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:EDU\.oswego\.cs\.dl\.util)\.)|(?:\b(?:EDU\.oswego\.cs\.dl\.util)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
235,Set 3 - Third Party,THIRD-PARTY (CACHE jar),ehcache-0.9.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:net\.sf\.ehcache|net\.sf\.ehcache\.store|net\.sf\.ehcache\.config|net\.sf\.ehcache\.constructs\.blocking|net\.sf\.ehcache\.hibernate|net\.sf\.ehcache\.store\.MemoryStore\$SpoolingLinkedHashMap|net\.sf\.ehcache\.config\.Configuration\$DefaultCache|net\.sf\.ehcache\.store\.MemoryStore\$SpoolingLRUMap|net\.sf\.ehcache\.config\.BeanHandler\$ElementInfo|net\.sf\.ehcache\.config\.Configuration\$DiskStore)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:net\.sf\.ehcache|net\.sf\.ehcache\.store|net\.sf\.ehcache\.config|net\.sf\.ehcache\.constructs\.blocking|net\.sf\.ehcache\.hibernate|net\.sf\.ehcache\.store\.MemoryStore\$SpoolingLinkedHashMap|net\.sf\.ehcache\.config\.Configuration\$DefaultCache|net\.sf\.ehcache\.store\.MemoryStore\$SpoolingLRUMap|net\.sf\.ehcache\.config\.BeanHandler\$ElementInfo|net\.sf\.ehcache\.config\.Configuration\$DiskStore)\.)|(?:\b(?:net\.sf\.ehcache|net\.sf\.ehcache\.store|net\.sf\.ehcache\.config|net\.sf\.ehcache\.constructs\.blocking|net\.sf\.ehcache\.hibernate|net\.sf\.ehcache\.store\.MemoryStore\$SpoolingLinkedHashMap|net\.sf\.ehcache\.config\.Configuration\$DefaultCache|net\.sf\.ehcache\.store\.MemoryStore\$SpoolingLRUMap|net\.sf\.ehcache\.config\.BeanHandler\$ElementInfo|net\.sf\.ehcache\.config\.Configuration\$DiskStore)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
236,Set 3 - Third Party,THIRD-PARTY (FOP jar),fop.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.apache\.fop|org\.apache\.fop\.fo|org\.apache\.fop\.fo\.properties|org\.apache\.fop\.fo\.flow|org\.apache\.fop\.render|org\.apache\.fop\.pdf|org\.apache\.fop\.layout|org\.apache\.fop\.viewer|org\.apache\.fop\.fo\.pagination|org\.apache\.fop\.mif)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.apache\.fop|org\.apache\.fop\.fo|org\.apache\.fop\.fo\.properties|org\.apache\.fop\.fo\.flow|org\.apache\.fop\.render|org\.apache\.fop\.pdf|org\.apache\.fop\.layout|org\.apache\.fop\.viewer|org\.apache\.fop\.fo\.pagination|org\.apache\.fop\.mif)\.)|(?:\b(?:org\.apache\.fop|org\.apache\.fop\.fo|org\.apache\.fop\.fo\.properties|org\.apache\.fop\.fo\.flow|org\.apache\.fop\.render|org\.apache\.fop\.pdf|org\.apache\.fop\.layout|org\.apache\.fop\.viewer|org\.apache\.fop\.fo\.pagination|org\.apache\.fop\.mif)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review;POM
